producto,ingredientes,descripcion,marca,costo
NOT Burger Clásica,"Pan brioche suave, Not burguer vegetariana, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.","Pan brioche suave, Not burguer vegetariana, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.",Del Sabor,500.0
Pack por invitado.,"1 Churrasco Italiano: Pan brioche con carne de vacuno, palta cremosa y tomate jugoso.
1 Papas fritas: Porción de 140 gr papas fritas doradas y crujientes.
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional","1 Churrasco Italiano: Pan brioche con carne de vacuno, palta cremosa y tomate jugoso.
1 Papas fritas: Porción de 140 gr papas fritas doradas y crujientes.
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional",Del Sabor,500.0
Horario nocturno,Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador),Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador),Del Sabor,500.0
Personal extra,Barman a cargo de prepracion de tragos y otros liquidos.,Barman a cargo de prepracion de tragos y otros liquidos.,Del Sabor,500.0
Tickets personalizados,"Tickets por cada producto solicitado, logo empresa incluido.","Tickets por cada producto solicitado, logo empresa incluido.",Del Sabor,500.0
Salsas extras,porciones de salsa americana + chucrut.,porciones de salsa americana + chucrut.,Del Sabor,500.0
Chocolate caliente,"Chocolate caliente: Mezcla instantánea de chocolate y leche, preparada con agua caliente. De sabor dulce y textura cremosa.","Chocolate caliente: Mezcla instantánea de chocolate y leche, preparada con agua caliente. De sabor dulce y textura cremosa.",Del Sabor,500.0
Ingredientes extra,Porciones de aji verde.,Porciones de aji verde.,Del Sabor,500.0
Bar Abierto,"Servicio Bar abierto; Agua, jugo bebida, pisco, ron, vodka, whisky, mojito, aperol, espumante","Servicio Bar abierto; Agua, jugo bebida, pisco, ron, vodka, whisky, mojito, aperol, espumante",Del Sabor,500.0
Cocktail,Cocktail de bocados frío y calientes,Cocktail de bocados frío y calientes,Del Sabor,500.0
Pizza Individual,Pizza individual variedades,Pizza individual variedades,Del Sabor,500.0
Mini Cheese Burger,Mini amasado con hamburguesa de 60 gramos y queso mantecoso,Mini amasado con hamburguesa de 60 gramos y queso mantecoso,Del Sabor,500.0
Muffin,Exquisito muffin esponjoso.,Exquisito muffin esponjoso.,Del Sabor,500.0
Sticker,Sticker personalizado 5cms diámetro pop corn/algodones,Sticker personalizado 5cms diámetro pop corn/algodones,Del Sabor,500.0
Grafica personalizada Carro Clásico,G. Personalizada carro clásico (salados),G. Personalizada carro clásico (salados),Del Sabor,500.0
Grafica personalizada Módulo Entrega,G. Personalizada para módulo de entrega productos listos,G. Personalizada para módulo de entrega productos listos,Del Sabor,500.0
Grafica personalizada Carro Vintage,G.Personalizada para carrito blanco mote con huesillos,G.Personalizada para carrito blanco mote con huesillos,Del Sabor,500.0
Medias Lunas,Medialuna esponjosa horneada,Medialuna esponjosa horneada,Del Sabor,500.0
Vaso de Frutas,Exquisito vaso con frutas de temporada 300 grs,Exquisito vaso con frutas de temporada 300 grs,Del Sabor,500.0
Burger Italiana Vegetariana,,,Del Sabor,500.0
Chucrut.,salsa adiconal,salsa adiconal,Del Sabor,500.0
Combo Burger Italiana,"Pan brioche con hamburguesa jugosa, palta cremosa y rodajas de tomate fresco.
Bebida en lata variedad andina.
Porción papas fritas de 150 grs.","Pan brioche con hamburguesa jugosa, palta cremosa y rodajas de tomate fresco.
Bebida en lata variedad andina.
Porción papas fritas de 150 grs.",Del Sabor,500.0
Porción de palta,Palta hass cremosa,Palta hass cremosa,Del Sabor,500.0
Porción de Pepinillos,Exquisitos pepinillos dill,Exquisitos pepinillos dill,Del Sabor,500.0
Montaje Previo,Montaje previo al inicio del servicio,Montaje previo al inicio del servicio,Del Sabor,500.0
Pop corn envasado,Pop corn en formato vaso 12 oz con tapa domo,Pop corn en formato vaso 12 oz con tapa domo,Del Sabor,500.0
Algodón de azúcar envasado,Algodón de azúcar en formato vaso 12 oz con tapa domo,Algodón de azúcar en formato vaso 12 oz con tapa domo,Del Sabor,500.0
Carro Vintage - Arriendo,Arriendo día de carrito vintage blanco,Arriendo día de carrito vintage blanco,Del Sabor,500.0
Empanada de pino,"Exquisita empanada de pino con carne picada, al horno.","Exquisita empanada de pino con carne picada, al horno.",Del Sabor,500.0
Brading Módulo Entrega,3 Gráficas personalizadas módulo entrega,3 Gráficas personalizadas módulo entrega,Del Sabor,500.0
Anticucho,Exquisita brocheta de 150 grs con variedad de carnes y verduras.,Exquisita brocheta de 150 grs con variedad de carnes y verduras.,Del Sabor,500.0
Choripan,Chorizo Angus en marraqueta crujiente. Incluye pebre,Chorizo Angus en marraqueta crujiente. Incluye pebre,Del Sabor,500.0
Mote con huesillo.,"Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén","Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén",Del Sabor,500.0
Burger Especial,"Jugosa hamburguesa de 100 grs con pepinillos dill y queso cheddar, en un pan Brioche.","Jugosa hamburguesa de 100 grs con pepinillos dill y queso cheddar, en un pan Brioche.",Del Sabor,500.0
Helados Paleta,Variedad helados paleta,Variedad helados paleta,Del Sabor,500.0
Grafica Personalizada Congelador,G. Personalizada congelador (helados),G. Personalizada congelador (helados),Del Sabor,500.0
Hot dog simple,Pan lengua y salchicha sureña pf,Pan lengua y salchicha sureña pf,Del Sabor,500.0
Mini Burger Clásica,"Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.","Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.",Del Sabor,500.0
Mechada Italiana (Marraqueta),"Pan Marraqueta con 200 gr mechada de vacuno, palta cremosa y rodajas de tomate fresco.","Pan Marraqueta con 200 gr mechada de vacuno, palta cremosa y rodajas de tomate fresco.",Del Sabor,500.0
Liquidos Fríos:,"•Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.
 • Jugos Néctar: variedad durazno, naranja, piña.
 • Aguas con y sin gas formato 500 cc.","•Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.
 • Jugos Néctar: variedad durazno, naranja, piña.
 • Aguas con y sin gas formato 500 cc.",Del Sabor,500.0
